#Probeset  	10h_control	      10h	      14h	      18h	      24h
218382_s_at	   7.298902	 7.429889	 7.477089	 7.519829	 7.179311
218387_s_at	    6.75365	 6.276602	 6.536764	 6.343221	 6.214671
218388_at  	   6.947627	 6.667551	  6.73064	 6.964724	 6.759136
218440_at  	   7.464374	 6.913139	 6.659825	 7.045359	 6.063922
218488_at  	   7.978109	 7.394002	 7.588733	 7.378448	 6.629051
218685_s_at	   6.813249	 6.356115	 6.322609	 6.220988	 5.727254
218790_s_at	   5.282381	 4.914926	 4.752942	 4.904542	 5.389613
218797_s_at	   7.250205	 7.240552	 7.498329	 7.532709	 6.950147
218830_at  	   9.449002	 8.944682	  9.42211	 9.088785	 8.122362
218954_s_at	   5.995095	 6.490769	 6.299604	  6.21836	 6.769365
218955_at  	   7.924703	 7.809412	 7.985569	 7.781466	 8.271733
219105_x_at	   7.754331	 7.183234	 7.612262	 7.504585	 6.305543
219198_at  	   8.477142	 8.218325	  8.39723	 7.974463	  7.59883
219214_s_at	   7.400951	  8.05806	 7.984144	  7.93564	 8.117711
219308_s_at	   6.047512	 6.050444	 6.418438	 6.041743	 6.146389
219350_s_at	   9.494073	 8.649929	 8.687045	 8.825372	 8.162337
219380_x_at	   3.051887	 4.437029	 3.659206	 3.467645	 3.881158
219459_at  	   7.265324	 6.611478	 6.403883	 6.446645	 5.706531
219485_s_at	   9.462085	 7.871878	 8.128032	 8.296015	 7.821001
219612_s_at	   4.116468	 4.414218	 5.002885	 3.819053	 4.955648
219693_at  	   5.231411	 5.806378	 5.984006	 5.721688	 6.870446
219723_x_at	   6.772315	 7.022116	 6.748953	 6.590664	 6.519763
219762_s_at	  11.063469	10.956219	11.316692	11.316232	10.856089
220113_x_at	   6.779274	 7.079246	 7.385343	 6.912735	 6.884345
220475_at  	   5.562543	 6.104791	 5.661571	 5.880369	 6.222363
220507_s_at	    5.24665	 5.837583	 5.274108	 5.527042	 6.145429
220604_x_at	   6.347239	  6.76883	  6.66639	 6.517051	 7.768266
220607_x_at	   9.481187	 9.230083	 9.018075	 8.991888	 8.324324
220651_s_at	   8.907051	 7.385299	 7.320595	 7.552736	 7.175499
220934_s_at	   7.085312	 7.159427	 7.187582	 7.105658	 6.383415
220960_x_at	  11.940607	11.869856	12.066956	 11.90591	 11.75493
221263_s_at	   10.32446	 9.780247	10.058195	 10.05263	 9.552664
221284_s_at	   5.374468	 5.774499	 6.391434	 5.531501	 7.238954
221480_at  	   7.238246	 6.199318	  6.14332	 5.990702	 5.658947
221481_x_at	  10.980363	10.750789	10.744128	10.632455	10.282803
221494_x_at	   9.975378	 9.962201	 10.13206	10.034275	 9.667332
221510_s_at	   8.759166	 6.102349	 7.003722	 7.148008	 5.093583
221539_at  	   8.845008	 8.812646	  8.72207	 8.924043	 8.908864
221540_x_at	   7.317451	 6.593607	 7.267253	 7.038621	 5.687203
